museumCapacity,hotelCapacity,ticketPrice,hotelPrice,monthlyExpenditures,numVisitors,maxDays,totalVisits,totalHotelStays,totalRefusals,totalRepairs,finalWear,finalAttractiveness,finalBudget,finalMobileNetwork,finalPaymentSystem,finalTransportAccess,finalInternetQuality,finalNavigationAccess,finalServiceAvailability,finalAvgReview
15,5,30,50,5000,65,365,4972,1114,18753,18,24.96,85.42,119840.00,94.69,96.64,99.05,99.05,99.05,99.05,85.87
15,5,30,50,5000,65,730,9987,2419,37463,69,21.15,86.08,248650.00,98.36,98.13,95.74,96.61,95.77,95.80,85.41
10,5,30,50,5000,65,365,3318,922,20277,8,29.30,78.73,64895.00,88.67,88.37,97.66,96.13,97.69,97.72,84.02
10,5,30,50,5000,65,730,6926,1606,40524,46,32.09,79.08,121470.00,89.95,90.10,98.20,96.40,96.43,96.61,78.45
10,3,20,30,5000,65,365,3329,813,20396,14,31.20,81.96,8000.00,90.21,90.21,98.83,98.86,98.89,98.92,78.04
10,3,20,30,5000,65,730,6760,1652,40690,55,25.95,81.36,13990.00,95.24,95.44,99.52,93.34,93.37,95.23,81.57
20,7,50,50,5000,65,365,6233,894,17492,20,23.35,87.44,262260.00,97.94,98.01,99.55,99.25,99.28,99.58,86.20
20,7,50,50,5000,65,730,12770,1756,34680,61,21.67,88.72,538260.00,99.28,99.43,99.91,99.58,99.61,99.64,90.22
